Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TC1,Chrome 67.0.3396.99,,2018-07-02 13:21:03,2018-07-02 13:22:56,"1m - 53,164s",FAILED
,,,,,,
Test Cases/LogIn/LogIn_with_correct_data,Chrome 67.0.3396.99,,2018-07-02 13:21:04,2018-07-02 13:21:51,"46,960s",FAILED
openBrowser,Chrome 67.0.3396.99,,2018-07-02 13:21:04,2018-07-02 13:21:12,"8,139s",PASSED
verifyElementPresent,Chrome 67.0.3396.99,,2018-07-02 13:21:12,2018-07-02 13:21:12,"0,124s",PASSED
click,Chrome 67.0.3396.99,,2018-07-02 13:21:12,2018-07-02 13:21:13,"0,324s",PASSED
waitForElementPresent,Chrome 67.0.3396.99,,2018-07-02 13:21:13,2018-07-02 13:21:13,"0,434s",PASSED
click,Chrome 67.0.3396.99,,2018-07-02 13:21:13,2018-07-02 13:21:13,"0,376s",PASSED
waitForElementPresent,Chrome 67.0.3396.99,,2018-07-02 13:21:13,2018-07-02 13:21:16,"2,364s",PASSED
setText,Chrome 67.0.3396.99,,2018-07-02 13:21:16,2018-07-02 13:21:17,"0,853s",PASSED
click,Chrome 67.0.3396.99,,2018-07-02 13:21:17,2018-07-02 13:21:17,"0,217s",PASSED
setText,Chrome 67.0.3396.99,,2018-07-02 13:21:17,2018-07-02 13:21:17,"0,181s",PASSED
click,Chrome 67.0.3396.99,,2018-07-02 13:21:17,2018-07-02 13:21:18,"0,668s",PASSED
waitForPageLoad,Chrome 67.0.3396.99,,2018-07-02 13:21:18,2018-07-02 13:21:18,"0,099s",PASSED
verifyElementPresent,Chrome 67.0.3396.99,,2018-07-02 13:21:18,2018-07-02 13:21:50,"32,706s",FAILED
,,,,,,
Test Cases/OpenProfilePage,Chrome 67.0.3396.99,,2018-07-02 13:21:51,2018-07-02 13:22:23,"32,421s",FAILED
click,Chrome 67.0.3396.99,,2018-07-02 13:21:51,2018-07-02 13:22:23,"32,182s",FAILED
,,,,,,
Test Cases/LogOut,Chrome 67.0.3396.99,,2018-07-02 13:22:23,2018-07-02 13:22:55,"32,459s",FAILED
click,Chrome 67.0.3396.99,,2018-07-02 13:22:23,2018-07-02 13:22:55,"32,299s",FAILED
